date,type,category,amount,content
2025/12/16,spend,교통,4천원,버스 충전
2026-03-05,spend,의료,12만 원,병원 진료비
2025.11.06,allowance,월급,2700천원,월급 수령
2025.06.21,spend,식비,3만 원,점심 식사
2025/05/19,refund,중고판매,10만 원,물건 판매금
2025.12.16,출금,교통," 4,500 원 ",지하철 이용
2025년 07월 05일,수익,월급,270만 원,월급 수령
2026년 03월 25일,buy,여가,200천원,여행 경비
2025.01.01,buy,식비,30천원,배달 음식 주문
2025년 10월 10일,spend,문화,1만 원,책 구매
2025년 11월 16일,used,카페," 4,500 원 ",디저트 카페
2026-02-19,other,여가,4만 원,게임 결제
2026/03/04,spend,식비,"30,000원",배달 음식 주문
2026.01.19,other,여가,1만 원,여행 경비
2025.10.28,spend,쇼핑,25천원,온라인 쇼핑
2025-05-04,spend,생활,"35,000원",세제 구매
2025.12.13,payment,쇼핑,12만 원,옷 구매
2025-10-22,payment,식비,9천원,저녁 식사
2026년 01월 14일,지출,의료,"40,000원",병원 진료비
2025.07.04,used,식비," 30,000 원 ",저녁 식사
2025년 07월 26일,refund,월급,260만 원,월급 수령
2025.04.15,spend,생활,5만 원,마트 장보기
2025.05.23,spend,쇼핑,180천원,생활용품 구매
2026-01-03,used,쇼핑,18만 원,온라인 쇼핑
2026.01.30,수익,상여,30만 원,명절 상여금
2025년 05월 05일,expense,교육,"250,000원",수업 교재비
2025년 12월 31일,salary,월급,"2,200,000원",월급 수령
2026.02.09,spend,교통," 4,500 원 ",지하철 이용
2025/12/31,spend,쇼핑,12만 원,옷 구매
2025/12/16,payback,월급,2100천원,정기 급여
2025/07/26,salary,환급,5천원,카드 캐시백 환급
2026년 04월 05일,spend,식비,15천원,저녁 식사
2025/05/21,used,통신,5만 원,휴대폰 요금
2025-07-04,expense,여가,2만 원,여행 경비
2025-06-16,salary,상여," 500,000 원 ",명절 상여금
2025-10-30,지출,통신,55천원,인터넷 요금
2025/05/31,payment,교통,8천원,택시 이용
2026-02-11,지출,카페,"3,800원",카페 커피
2025년 05월 18일,used,식비,7천원,점심 식사
2025.10.29,지출,의료,120천원,병원 진료비
2025년 05월 09일,salary,상여,50만 원,명절 상여금
2025-11-12,용돈,월급,2400천원,회사 급여 입금
2025.04.12,used,문화,"12,000원",전시 관람
2025/01/12,지출,문화,8천원,책 구매
2026/03/04,used,문화,25천원,책 구매
2025.06.11,지출,카페,7천원,카페 커피
2025/01/16,expense,쇼핑,39천원,생활용품 구매
2026년 03월 29일,payment,여가," 200,000 원 ",게임 결제
2025/03/07,used,쇼핑,79천원,옷 구매
2025년 12월 03일,용돈,중고판매,"150,000원",물건 판매금
2026-01-07,spend,통신,2만 원,휴대폰 요금
2026년 01월 08일,지출,교통,"18,000원",버스 충전
2025.04.15,expense,쇼핑,180천원,옷 구매
2026/03/30,buy,문화," 8,000 원 ",영화 관람
2025년 07월 15일,출금,식비,12천원,편의점 식사
2025-11-22,expense,여가," 70,000 원 ",주말 나들이
2025년 03월 28일,buy,의료,70천원,영양제 구매
2025/08/30,other,식비,"22,000원",점심 식사
2026-04-01,bonus,월급," 2,100,000 원 ",회사 급여 입금
2025/04/13,지출,식비,"22,000원",저녁 식사
2025/01/23,spend,생활,18천원,마트 장보기
2025/09/03,expense,식비,9천원,저녁 식사
2025-06-15,refund,부수입,50천원,프리랜서 작업비
2026-02-25,수익,용돈,"150,000원",용돈 받음
2025/12/05,spend,카페,7천원,카페 커피
2026/03/01,buy,교육,15천원,수업 교재비
2025/02/26,payment,식비,"7,000원",점심 식사
2026.03.11,used,식비,1만 원,배달 음식 주문
2025-11-07,buy,교통,1천원,버스 충전
2025/12/16,spend,생활," 24,000 원 ",세제 구매
2026/01/11,지출,식비,"4,500원",점심 식사
2025/08/09,used,식비,3만 원,배달 음식 주문
2025년 06월 03일,spend,식비,7천원,저녁 식사
2025-12-01,payment,쇼핑,39천원,생활용품 구매
2025-01-11,payment,생활,"80,000원",세제 구매
2026-02-01,income,월급,300만 원,회사 급여 입금
2026-03-12,payment,생활," 5,000 원 ",생필품 구입
2025-03-24,payback,월급,2400천원,월급 수령
2025년 04월 22일,지출,여가,"120,000원",게임 결제
2025.04.01,출금,생활,"50,000원",생필품 구입
2025.05.08,expense,여가,120천원,여행 경비
2025년 12월 02일,expense,생활,3만 원,마트 장보기
2025/02/02,expense,쇼핑,39천원,생활용품 구매
2026/01/05,used,여가," 200,000 원 ",게임 결제
2025-05-11,출금,교통," 4,500 원 ",택시 이용
2025-08-24,지출,교육," 80,000 원 ",강의 결제
2026-02-16,지출,교통," 18,000 원 ",버스 충전
2025/03/22,used,의료,7만 원,병원 진료비
2025-09-04,refund,지원금,200천원,환급성 지원금
2025.04.25,용돈,월급,2300천원,월급 수령
2025/04/01,용돈,부수입,120천원,알바비 정산
2025-02-27,출금,여가,2만 원,게임 결제
2025년 04월 10일,payment,문화,1만 원,전시 관람
2025-01-04,입금,환급,5천원,세금 환급
2025-09-07,allowance,상여,100천원,명절 상여금
2025-03-30,지출,교통,1천원,버스 충전
2025/08/16,지출,여가,5천원,주말 나들이
2025년 04월 21일,spend,교육,15천원,강의 결제
2025-05-03,payment,쇼핑,25천원,생활용품 구매
2025.08.28,출금,쇼핑,1만 원,옷 구매
2025년 05월 24일,expense,교통,1만 원,지하철 이용
2025년 09월 18일,payback,환급,3천원,배송비 환급
2025/01/17,other,식비,9천원,배달 음식 주문
2026/03/31,payment,문화,40천원,전시 관람
2025-01-09,expense,여가,4만 원,여행 경비
2025-03-13,payment,카페,6천원,카페 커피
2025년 12월 14일,allowance,월급,2400천원,회사 급여 입금
2026/03/13,buy,쇼핑,"79,000원",생활용품 구매
2025-04-14,used,통신,22천원,인터넷 요금
2025-06-25,payment,문화,1만 원,영화 관람
2026년 02월 20일,payback,상여,70만 원,프로젝트 보너스
2025/05/04,spend,카페,3천원,카페 커피
2026년 03월 30일,spend,식비,"9,000원",점심 식사
2025년 05월 10일,출금,의료,7만 원,병원 진료비
2025.08.12,지출,식비,"15,000원",점심 식사
2025-03-31,spend,교통,18천원,지하철 이용
2025/09/13,payment,생활,35천원,생필품 구입
2025.10.31,출금,생활,80천원,생필품 구입
2025-07-30,expense,쇼핑,120천원,온라인 쇼핑
2025.08.30,수입,월급,2800천원,월급 수령
2025년 12월 30일,other,교육,5만 원,강의 결제
2025.04.17,출금,교통,"12,000원",버스 충전
2025/07/04,payment,쇼핑," 25,000 원 ",생활용품 구매
2025-02-27,refund,월급,2700천원,정기 급여
2025년 08월 21일,payment,생활,1만 원,생필품 구입
2026-02-20,출금,식비," 22,000 원 ",배달 음식 주문
2026/01/28,buy,생활,50천원,마트 장보기
2026-03-12,expense,카페,6천원,디저트 카페
2025-01-08,used,교통,"1,400원",버스 충전
2025/02/13,buy,식비,9천원,배달 음식 주문
2025.02.28,bonus,월급,230만 원,월급 수령
2025.06.28,other,교통,1만 원,지하철 이용
2025.02.12,income,월급,210만 원,정기 급여
2026-03-21,other,교통,"1,500원",버스 충전
2026-03-06,지출,교통,"1,500원",지하철 이용
2025-02-18,allowance,월급,"2,800,000원",회사 급여 입금
2025년 08월 30일,buy,식비,1만 원,점심 식사
2025-05-13,payment,쇼핑,12만 원,생활용품 구매
2025/01/13,allowance,월급," 2,400,000 원 ",회사 급여 입금
2025.12.06,지출,식비,"12,000원",편의점 식사
2026.01.02,used,문화,1만 원,책 구매
2025/11/08,payment,카페,6천원,카페 커피
2025.11.19,buy,쇼핑,39천원,생활용품 구매
2025년 09월 01일,expense,통신,18천원,알뜰폰 요금
2025년 02월 04일,bonus,환급," 18,000 원 ",세금 환급
2025.08.03,other,교통,18천원,택시 이용
2025/02/23,used,식비,9천원,점심 식사
2025.12.17,expense,카페,9천원,음료 구매
2025/02/13,수입,환급,3천원,세금 환급
2025/12/25,payback,월급,270만 원,회사 급여 입금
2026년 01월 27일,payment,문화," 8,000 원 ",영화 관람
2025/03/01,refund,중고판매,50천원,중고거래 판매대금
2025/05/28,buy,교통," 12,000 원 ",버스 충전
2025.09.09,입금,부수입,80천원,프리랜서 작업비
2026.02.21,payment,식비,18천원,저녁 식사
2025-12-04,buy,통신,"55,000원",인터넷 요금
2025.05.11,payment,교육," 30,000 원 ",책 강의 자료 구매
2025/06/04,spend,교통,2천원,버스 충전
2025-12-13,buy,생활," 80,000 원 ",생필품 구입
2026.01.08,용돈,월급,2500천원,정기 급여
2026/03/06,payment,식비,"4,500원",배달 음식 주문
2026년 03월 26일,지출,교육," 250,000 원 ",수업 교재비
2025/08/29,buy,통신,3만 원,인터넷 요금
2025-03-02,지출,식비,12천원,배달 음식 주문
2025년 09월 12일,other,식비," 22,000 원 ",배달 음식 주문
2025.06.08,other,교육,"50,000원",책 강의 자료 구매
2025년 06월 30일,expense,식비,3만 원,편의점 식사
2025-12-07,payback,월급,2600천원,정기 급여
2025/10/19,refund,용돈,30천원,용돈 받음
2025/02/17,payback,월급,"2,600,000원",회사 급여 입금
2025-11-06,spend,식비," 9,000 원 ",편의점 식사
2025-04-14,출금,여가,40천원,주말 나들이
2025-03-15,출금,교통," 1,500 원 ",버스 충전
2025/07/05,payback,월급,2100천원,정기 급여
2025/03/21,other,식비,4천원,편의점 식사
2025-05-13,buy,식비,4만 원,편의점 식사
2025.01.03,출금,여가,12만 원,여행 경비
2026-02-25,bonus,용돈,"150,000원",용돈 받음
2025년 12월 31일,spend,식비," 45,000 원 ",점심 식사
2025년 08월 15일,spend,교육,3만 원,책 강의 자료 구매
2025/04/21,buy,교통," 1,500 원 ",버스 충전
2025년 07월 02일,출금,카페,7천원,카페 커피
2025년 04월 09일,used,식비,"9,000원",편의점 식사
2026/01/29,used,쇼핑,55천원,온라인 쇼핑
2025년 09월 18일,income,월급," 2,600,000 원 ",정기 급여
2025년 07월 26일,입금,이자,3천원,이자 들어옴
2025년 08월 27일,지출,생활,5천원,생필품 구입
2025/11/19,spend,의료,40천원,병원 진료비
2025.12.06,출금,식비,18천원,편의점 식사
2025년 12월 13일,salary,부수입,250천원,사이드 수입
2025년 05월 27일,수입,중고판매,70천원,당근 판매 수입
2025.05.21,payment,교육,120천원,수업 교재비
2025.09.02,수익,월급,"2,500,000원",회사 급여 입금
2025.02.04,지출,여가,"25,000원",게임 결제
2025-03-24,expense,교통,"1,500원",버스 충전
2025-03-13,수입,월급,"2,700,000원",월급 수령
2026/01/04,출금,식비,45천원,점심 식사
2025/04/09,refund,상여,500천원,성과급 입금
2025.06.04,income,월급,"2,100,000원",회사 급여 입금
2025.11.19,income,상여,200천원,성과급 입금
2025년 04월 12일,spend,여가,2만 원,게임 결제
2025/04/30,출금,식비,"9,000원",저녁 식사
2025년 11월 17일,지출,식비,30천원,점심 식사
2025-01-12,spend,교통," 8,000 원 ",버스 충전
2025-10-15,spend,쇼핑,25천원,온라인 쇼핑
2026/02/07,payment,여가,40천원,주말 나들이
2026/01/08,other,교통,8천원,택시 이용
2025.07.12,bonus,지원금,5만 원,환급성 지원금
2026년 01월 23일,payment,통신," 22,000 원 ",알뜰폰 요금
2026-03-16,지출,식비,9천원,편의점 식사
2026/04/10,지출,쇼핑,1만 원,온라인 쇼핑
2025.05.22,spend,생활,2만 원,생필품 구입
2025-08-18,other,식비,15천원,저녁 식사
2025.05.23,spend,식비,15천원,편의점 식사
2025/12/24,출금,식비,15천원,점심 식사
2026-03-12,지출,카페,5천원,디저트 카페
2026년 03월 12일,buy,교육," 80,000 원 ",수업 교재비
2025-02-11,출금,교통,1천원,택시 이용
2026/03/06,출금,교통,1천원,지하철 이용
2025년 02월 01일,수익,중고판매,35천원,중고거래 판매대금
2026-03-14,spend,식비,"30,000원",배달 음식 주문
2025-04-29,buy,쇼핑,39천원,생활용품 구매
2025.07.27,other,여가,40천원,게임 결제
2025-02-20,payment,문화,12천원,책 구매
2025/02/27,used,식비,1만 원,편의점 식사
2025.01.15,used,쇼핑,55천원,온라인 쇼핑
2025/12/17,buy,쇼핑,79천원,온라인 쇼핑
2025-11-06,bonus,월급,220만 원,월급 수령
2025-02-06,income,상여,200천원,프로젝트 보너스
2025년 02월 21일,지출,의료,1만 원,약국 구매
2025.05.24,지출,생활," 35,000 원 ",세제 구매
2025-10-29,buy,식비,9천원,저녁 식사
2025년 03월 04일,payback,중고판매,35천원,물건 판매금
2025.12.24,refund,용돈,30천원,용돈 받음
2025년 08월 08일,지출,의료,3천원,병원 진료비
2026/01/07,payment,식비,1만 원,저녁 식사
2025-03-18,income,부수입,80천원,알바비 정산
2025/07/31,지출,문화,1만 원,책 구매
2026년 01월 23일,입금,중고판매,20천원,중고거래 판매대금
2025년 08월 08일,buy,문화," 40,000 원 ",영화 관람
2025.05.03,출금,생활,1만 원,마트 장보기
2025-06-19,expense,교통,4천원,지하철 이용
2025-08-17,용돈,월급,"2,700,000원",월급 수령
2025/08/08,other,생활,"5,000원",생필품 구입
2026/02/09,입금,상여,100천원,성과급 입금
2025/03/28,용돈,월급," 2,800,000 원 ",회사 급여 입금
2025-01-02,expense,의료,8천원,병원 진료비
2025.05.28,used,교통,1만 원,택시 이용
2025-07-25,expense,교육,3만 원,강의 결제
2025년 04월 09일,expense,여가,4만 원,주말 나들이
2025년 02월 20일,other,쇼핑,3만 원,생활용품 구매
2025-02-04,지출,식비,9천원,점심 식사
2025.06.14,용돈,월급,2600천원,회사 급여 입금
2026/02/28,allowance,지원금,10만 원,장학금 지급
2026-01-07,출금,식비,"15,000원",점심 식사
2025.02.17,지출,식비," 18,000 원 ",점심 식사
2025/06/12,other,문화,4만 원,전시 관람
2025/04/15,payment,교통,2천원,택시 이용
2025/12/04,spend,쇼핑,5만 원,온라인 쇼핑
2025년 05월 31일,allowance,이자,3천원,이자 들어옴
2026-03-23,used,교통,"2,800원",지하철 이용
2025.09.05,other,의료,120천원,병원 진료비
2025.02.14,buy,문화,12천원,책 구매
2025-12-22,입금,상여,300천원,명절 상여금
2025.11.08,used,의료,12만 원,약국 구매
2025.02.25,출금,문화,1만 원,영화 관람
2026.04.04,payment,문화,18천원,책 구매
2025-06-10,salary,용돈," 70,000 원 ",가족 지원금
2026년 03월 13일,salary,월급,210만 원,월급 수령
2026년 01월 31일,expense,쇼핑," 39,000 원 ",옷 구매
2025.05.11,출금,교통,4천원,버스 충전
2025/06/14,buy,의료,8천원,약국 구매
2025.04.13,buy,교육,3만 원,책 강의 자료 구매
2025-10-20,expense,의료,4만 원,병원 진료비
2025-08-14,payment,교통,1천원,버스 충전
2025/07/24,bonus,부수입,120천원,사이드 수입
2025년 01월 20일,used,생활,18천원,세제 구매
2025년 01월 07일,bonus,월급,2300천원,정기 급여
2025.07.18,용돈,지원금,300천원,장학금 지급
2025-04-19,expense,식비,9천원,배달 음식 주문
2025/09/17,payment,여가,7만 원,게임 결제
2025.09.28,buy,교통,"1,500원",지하철 이용
2025.11.05,used,생활,"80,000원",마트 장보기
2025-07-07,payment,쇼핑,2만 원,옷 구매
2025/08/02,bonus,중고판매," 50,000 원 ",중고거래 판매대금
2025/04/12,spend,쇼핑,"39,000원",생활용품 구매
2025/08/23,수입,중고판매," 10,000 원 ",당근 판매 수입
2025/06/14,other,의료,40천원,병원 진료비
2025/02/04,used,의료,"120,000원",영양제 구매
2026/01/30,입금,상여,"300,000원",프로젝트 보너스
2026/01/11,used,식비,15천원,저녁 식사
2026/01/16,payment,생활,"24,000원",세제 구매
2025.12.01,지출,식비,"45,000원",저녁 식사
2025/02/05,payback,부수입,50천원,프리랜서 작업비
2026/03/02,buy,쇼핑,18만 원,생활용품 구매
2025-11-21,payment,식비,1만 원,점심 식사
2026-01-04,용돈,월급," 2,500,000 원 ",월급 수령
2025.08.14,지출,여가,20만 원,여행 경비
2025/02/16,other,의료,40천원,영양제 구매
2025.10.05,other,통신,2만 원,휴대폰 요금
2026/03/02,used,식비,2만 원,점심 식사
2025-08-14,payment,교통,8천원,지하철 이용
2026/01/28,payment,교육,8만 원,강의 결제
2026년 01월 10일,출금,여가," 70,000 원 ",여행 경비
2025-08-30,buy,식비,1만 원,배달 음식 주문
2025/06/28,spend,쇼핑,7만 원,온라인 쇼핑
2026/02/18,용돈,부수입,"80,000원",사이드 수입
2025년 03월 29일,spend,교육,"250,000원",책 강의 자료 구매
2026/01/01,expense,식비,9천원,편의점 식사
2025/03/18,spend,의료,2만 원,병원 진료비
2026년 01월 05일,other,식비,45천원,저녁 식사
2025-09-06,buy,식비,30천원,점심 식사
2025.04.22,buy,여가,70천원,여행 경비
2025/09/03,출금,여가,12만 원,게임 결제
2026/02/20,지출,식비,1만 원,저녁 식사
2025.05.10,출금,카페," 4,500 원 ",카페 커피
2025-04-25,spend,통신,1만 원,휴대폰 요금
2026.01.19,수입,환급,5천원,카드 캐시백 환급
2026년 01월 23일,spend,의료,8천원,병원 진료비
2026년 02월 18일,spend,쇼핑,7만 원,온라인 쇼핑
2026-02-28,spend,교육,30천원,수업 교재비
2025.08.25,expense,여가," 5,000 원 ",주말 나들이
2025년 08월 09일,other,식비,"9,000원",저녁 식사
2026년 03월 24일,buy,문화,12천원,전시 관람
2025/12/03,payment,교통,8천원,택시 이용
2025/03/07,수입,월급,250만 원,월급 수령
2026.01.10,used,여가,"5,000원",주말 나들이
2025년 11월 12일,spend,쇼핑,1만 원,생활용품 구매
2025.08.16,buy,교통,4천원,버스 충전
2025-12-31,used,교통,18천원,버스 충전
2025.05.15,other,식비,2만 원,배달 음식 주문
2025-09-23,용돈,월급,2400천원,회사 급여 입금
2025-01-18,used,의료,4만 원,병원 진료비
2026/02/14,수입,월급,"2,700,000원",월급 수령
2025/02/15,bonus,월급,2200천원,회사 급여 입금
2025/02/06,refund,부수입,18만 원,알바비 정산
2025-01-25,spend,여가," 25,000 원 ",주말 나들이
2025.02.21,buy,생활,35천원,생필품 구입
2025.05.29,용돈,월급,280만 원,정기 급여
2025년 05월 21일,expense,쇼핑,18만 원,온라인 쇼핑
2025.07.08,payback,상여,300천원,프로젝트 보너스
2025.07.31,buy,쇼핑," 55,000 원 ",옷 구매
2026-03-15,출금,식비,4만 원,점심 식사
2025년 12월 27일,수익,월급,240만 원,월급 수령
2025년 11월 30일,income,환급,5천원,세금 환급
2025.04.08,spend,교통,1천원,지하철 이용
2025.10.19,spend,교통," 1,500 원 ",택시 이용
2025.08.27,income,월급," 3,000,000 원 ",회사 급여 입금
2025.05.18,payment,쇼핑," 39,000 원 ",온라인 쇼핑
2026/04/01,출금,교육," 30,000 원 ",강의 결제
2025/09/29,income,월급,"3,000,000원",회사 급여 입금
2025.04.25,used,통신,3만 원,휴대폰 요금
2025년 01월 07일,other,식비,"4,500원",편의점 식사
2025-02-18,used,식비,12천원,점심 식사
2025/08/03,buy,쇼핑," 55,000 원 ",옷 구매
2025/07/10,expense,식비,"4,500원",편의점 식사
2025/03/21,payment,쇼핑,5만 원,생활용품 구매
2025/10/21,payment,의료,"40,000원",병원 진료비
2025-10-18,payment,식비,4만 원,점심 식사
2025년 12월 28일,used,여가,"120,000원",게임 결제
2025/08/17,payment,쇼핑,"12,000원",온라인 쇼핑
2025/05/08,출금,의료,8천원,약국 구매
2025/06/21,allowance,월급,"2,800,000원",회사 급여 입금
2025년 01월 30일,allowance,월급,"2,100,000원",회사 급여 입금
2025년 09월 16일,출금,교통,1만 원,버스 충전
2025-06-06,지출,교통,1만 원,택시 이용
2025-11-07,buy,교통,2천원,버스 충전
2025.01.29,other,교육,"180,000원",책 강의 자료 구매
2025년 10월 27일,spend,카페,7천원,디저트 카페
2025년 02월 03일,expense,쇼핑,55천원,생활용품 구매
2025년 09월 12일,지출,통신," 18,000 원 ",알뜰폰 요금
2026년 03월 10일,spend,식비," 15,000 원 ",점심 식사
2025-05-07,expense,쇼핑,3만 원,온라인 쇼핑
2025-10-06,refund,부수입,250천원,사이드 수입
2026년 03월 28일,출금,문화,2만 원,전시 관람
2026-04-08,지출,문화,"12,000원",책 구매
2025년 05월 06일,용돈,용돈,"50,000원",용돈 받음
2026/01/17,payment,쇼핑," 79,000 원 ",온라인 쇼핑
2026.02.03,other,식비,4만 원,편의점 식사
2025.08.18,용돈,용돈,"70,000원",부모님 용돈
2025.01.27,지출,식비,2만 원,점심 식사
2025년 03월 21일,지출,여가,70천원,여행 경비
2025.03.15,expense,교육,3만 원,강의 결제
2025년 01월 01일,용돈,중고판매,10천원,중고거래 판매대금
2026년 03월 03일,출금,여가,12천원,게임 결제
2026/03/11,used,쇼핑,7만 원,온라인 쇼핑
2026.03.17,지출,식비,"7,000원",저녁 식사
2025년 06월 06일,other,문화,2만 원,영화 관람
2025-06-28,buy,식비," 7,000 원 ",점심 식사
2025년 07월 25일,수입,월급,270만 원,정기 급여
2025년 07월 23일,spend,카페,7천원,디저트 카페
2025.12.25,expense,교육,5만 원,책 강의 자료 구매
2025년 03월 02일,용돈,월급,240만 원,정기 급여
2025년 11월 15일,other,여가," 5,000 원 ",주말 나들이
2025/05/12,buy,교통,8천원,택시 이용
2025년 04월 08일,spend,쇼핑,180천원,옷 구매
2025.10.13,spend,문화,40천원,영화 관람
2025년 03월 07일,other,쇼핑,39천원,온라인 쇼핑
2025년 11월 15일,payback,중고판매,"150,000원",중고거래 판매대금
2026년 02월 13일,allowance,부수입,"120,000원",프리랜서 작업비
2025/08/28,expense,문화,8천원,전시 관람
2025.04.14,other,생활,50천원,세제 구매
2025년 04월 26일,수익,상여,1000천원,명절 상여금
2025년 10월 20일,spend,식비,1만 원,배달 음식 주문
2025-09-10,other,식비,"45,000원",저녁 식사
2025.01.29,buy,통신,22천원,인터넷 요금
2025-10-03,expense,식비,9천원,저녁 식사
2025.09.28,expense,카페,3천원,음료 구매
2025년 04월 25일,입금,월급,2100천원,정기 급여
2025/05/23,used,여가,1만 원,게임 결제
2026년 01월 26일,payment,문화,"12,000원",전시 관람
2025-02-03,용돈,지원금,100천원,환급성 지원금
2025년 07월 16일,수입,부수입,"50,000원",알바비 정산
2026.01.04,buy,쇼핑,39천원,생활용품 구매
2025-09-02,spend,통신,18천원,휴대폰 요금
2025년 12월 21일,payment,문화,"18,000원",영화 관람
2025.10.09,지출,식비,30천원,저녁 식사
2025/01/01,출금,카페,7천원,디저트 카페
2025.09.09,buy,문화,1만 원,책 구매
2025.06.01,출금,문화,1만 원,책 구매
2026년 01월 20일,used,여가,2만 원,주말 나들이
2026-03-29,payment,교육,5만 원,수업 교재비
2025-04-28,spend,식비,"15,000원",배달 음식 주문
2025.11.28,used,식비,9천원,저녁 식사
2025년 07월 08일,spend,쇼핑,39천원,생활용품 구매
2025.07.07,지출,통신,33천원,인터넷 요금
2025-09-01,buy,여가,2만 원,주말 나들이
2025.05.07,buy,식비," 9,000 원 ",편의점 식사
2025/07/11,buy,식비,2만 원,편의점 식사
2025/06/25,income,월급," 2,800,000 원 ",회사 급여 입금
2025/11/20,refund,용돈,50천원,가족 지원금
2025/06/21,payment,여가," 200,000 원 ",게임 결제
2025-06-26,allowance,상여,200천원,성과급 입금
2025-08-24,expense,문화,1만 원,영화 관람
2025-10-14,expense,카페,5천원,카페 커피
2025.11.17,other,통신,"33,000원",인터넷 요금
2026년 03월 02일,income,상여,20만 원,명절 상여금
2026-01-08,expense,여가,70천원,주말 나들이
2025년 01월 09일,used,쇼핑," 39,000 원 ",생활용품 구매
2025/05/19,other,카페,3천원,음료 구매
2025년 01월 15일,used,의료,8천원,병원 진료비
2026년 04월 05일,수입,월급," 3,000,000 원 ",회사 급여 입금
2026년 03월 07일,spend,교육,"180,000원",강의 결제
2025.03.31,salary,상여,70만 원,명절 상여금
2025/05/03,입금,중고판매," 70,000 원 ",중고거래 판매대금
2025-04-21,bonus,월급,260만 원,회사 급여 입금
2025/04/03,allowance,중고판매,"150,000원",물건 판매금
2025년 06월 04일,출금,생활,"35,000원",생필품 구입
2025/03/27,bonus,용돈,70천원,부모님 용돈
2025-03-02,출금,문화,40천원,전시 관람
2025/10/29,refund,용돈,15만 원,부모님 용돈
2025/11/18,payment,교통,8천원,지하철 이용
2025-07-10,other,생활,5천원,세제 구매
2025-08-18,수입,월급,240만 원,정기 급여
2025-01-27,other,카페," 7,500 원 ",디저트 카페
2025년 05월 01일,used,카페,9천원,음료 구매
2025년 03월 01일,입금,부수입," 50,000 원 ",알바비 정산
2025-01-31,other,식비,30천원,저녁 식사
2025년 01월 05일,expense,카페,6천원,카페 커피
2025-10-21,출금,식비,4만 원,배달 음식 주문
2025.11.07,수익,월급,"2,300,000원",정기 급여
2025/08/18,salary,용돈," 70,000 원 ",용돈 받음
2025/09/21,용돈,중고판매,5만 원,물건 판매금
2025년 12월 26일,출금,여가,7만 원,여행 경비
2025년 04월 20일,used,식비,2만 원,편의점 식사
2025.07.06,used,교통,1천원,택시 이용
2025년 07월 15일,출금,통신,33천원,알뜰폰 요금
2025-11-02,입금,월급,3000천원,월급 수령
2026-01-18,used,식비,"7,000원",저녁 식사
2025.10.09,used,생활,80천원,세제 구매
2025-12-23,expense,의료,4만 원,약국 구매
2025년 05월 13일,spend,식비," 12,000 원 ",저녁 식사
2026년 01월 21일,used,쇼핑,39천원,생활용품 구매
2025.07.02,expense,생활,5만 원,마트 장보기
2025.05.20,지출,식비,7천원,편의점 식사
2025.12.01,buy,여가,12만 원,여행 경비
2026년 03월 24일,지출,생활,1만 원,세제 구매
2026-01-08,출금,생활,5천원,세제 구매
2025.06.12,지출,식비,9천원,저녁 식사
2026/03/12,출금,여가,200천원,게임 결제
2025/06/01,출금,식비,3만 원,편의점 식사
2025-07-17,bonus,월급,2700천원,월급 수령
2025-11-07,expense,교육,250천원,수업 교재비
2025-11-09,입금,부수입,18만 원,프리랜서 작업비
2025/12/28,used,교통,"2,800원",버스 충전
2025년 05월 21일,payment,교통,12천원,버스 충전
2026.02.20,payback,월급," 2,200,000 원 ",정기 급여
2025.06.30,payment,쇼핑,180천원,온라인 쇼핑
2025/03/12,used,통신,18천원,알뜰폰 요금
2025/08/09,payback,부수입,120천원,사이드 수입
2025년 10월 13일,buy,식비,7천원,저녁 식사
2026-02-18,buy,식비,"4,500원",저녁 식사
2026년 01월 22일,출금,식비,"9,000원",편의점 식사
2025년 01월 03일,payment,통신," 33,000 원 ",알뜰폰 요금
2025.01.18,other,교육," 30,000 원 ",수업 교재비
2025/01/04,other,여가,7만 원,주말 나들이
2025년 09월 02일,payment,통신,5만 원,휴대폰 요금
2025.03.05,spend,식비,18천원,저녁 식사
2025.11.28,payback,중고판매,50천원,물건 판매금
2025-10-04,buy,여가,200천원,게임 결제
